GTINShipDate,Quantity
1/11/2018,1
1/12/2018,1
1/17/2017,1
1/18/2018,1
1/19/2018,1
1/2/2018,1
1/24/2017,1
1/27/2017,1
1/29/2018,1
1/30/2017,1
1/5/2017,1
1/5/2018,1
10/16/2017,1
10/18/2017,1
10/2/2017,1
10/23/2017,1
10/28/2017,1
10/30/2017,1
10/5/2017,1
10/9/2017,1
11/2/2017,1
11/24/2017,1
11/30/2016,1
12/1/2016,1
12/1/2017,1
12/12/2016,1
12/14/2017,1
12/18/2017,1
12/20/2016,1
12/29/2017,1
12/7/2017,1
12/9/2016,1
2/10/2017,1
2/14/2017,1
2/15/2018,1
2/16/2018,1
2/2/2018,1
2/23/2018,1
2/26/2018,1
2/28/2017,1
2/28/2018,1
2/5/2018,1
2/9/2018,1
3/1/2018,1
3/14/2018,1
3/19/2018,1
3/2/2018,1
3/24/2018,1
3/27/2018,1
3/28/2017,1
3/29/2017,1
3/31/2017,1
3/5/2018,1
3/7/2017,1
3/8/2018,1
4/10/2017,1
4/11/2017,1
4/17/2017,1
4/28/2017,1
4/3/2017,1
4/6/2017,1
5/1/2017,1
5/11/2017,1
5/15/2017,1
5/22/2017,1
5/5/2017,1
6/16/2017,1
6/23/2017,1
6/30/2017,1
7/18/2016,1
7/25/2016,1
7/27/2017,1
7/28/2017,1
7/7/2016,1
8/14/2017,1
8/15/2016,1
8/28/2017,1
8/31/2017,1
8/8/2016,1
8/9/2016,1
9/1/2017,1
9/18/2017,1
9/20/2017,1
9/22/2017,1
9/4/2017,1
