GTINShipDate,Quantity
1/15/2018,1
1/16/2017,1
1/17/2018,1
1/18/2018,1
1/19/2018,1
1/20/2017,1
1/23/2018,1
1/26/2018,1
1/27/2017,1
1/29/2018,1
1/3/2017,1
1/30/2017,1
1/5/2018,1
10/12/2017,1
10/13/2017,1
10/19/2017,1
10/2/2017,1
10/23/2017,1
10/28/2017,1
10/4/2017,1
10/5/2017,1
10/7/2017,1
10/9/2017,1
11/15/2017,1
11/16/2017,1
11/18/2017,1
11/29/2016,1
11/30/2016,1
11/4/2017,1
12/1/2016,1
12/11/2017,1
12/12/2016,1
12/14/2017,1
12/15/2017,1
12/21/2017,1
12/22/2016,1
12/22/2017,1
12/26/2017,1
12/28/2016,1
12/29/2017,1
12/4/2017,1
12/8/2017,1
2/1/2018,1
2/12/2018,1
2/16/2018,1
2/2/2018,1
2/20/2017,1
2/24/2017,1
2/26/2018,1
2/28/2018,1
2/7/2018,1
2/8/2018,1
3/1/2018,1
3/10/2017,1
3/15/2018,1
3/16/2018,1
3/2/2018,1
3/20/2017,1
3/23/2018,1
3/26/2018,1
3/29/2017,1
3/29/2018,1
3/31/2017,1
3/7/2017,1
3/7/2018,1
4/11/2017,1
4/14/2017,1
4/28/2017,1
4/3/2017,1
4/6/2017,1
5/1/2017,1
5/12/2017,1
5/15/2017,1
5/17/2017,1
5/19/2017,1
5/22/2017,1
5/26/2017,1
5/5/2017,1
6/1/2017,1
6/10/2016,1
6/11/2016,1
6/15/2017,1
6/16/2016,1
6/16/2017,1
6/23/2017,1
6/27/2016,1
6/28/2016,1
6/29/2017,1
7/18/2016,1
7/20/2017,1
7/21/2016,1
7/21/2017,1
7/28/2017,1
7/7/2016,1
8/14/2017,1
8/16/2017,1
8/21/2017,1
8/24/2017,1
8/3/2017,1
8/30/2017,1
8/4/2017,1
8/8/2016,1
8/8/2017,1
8/9/2016,1
9/1/2017,1
9/11/2017,1
9/14/2017,1
9/18/2017,1
