GTINShipDate,Quantity
1/10/2018,1
1/11/2018,1
1/12/2018,1
1/15/2018,1
1/16/2018,1
1/17/2018,1
1/18/2018,1
1/19/2018,1
1/2/2018,1
1/22/2018,1
1/23/2018,1
1/24/2018,1
1/25/2018,1
1/26/2018,1
1/27/2017,1
1/29/2018,1
1/3/2017,1
1/3/2018,1
1/30/2018,1
1/9/2018,1
10/11/2017,1
10/12/2017,1
10/18/2017,1
10/24/2017,1
10/26/2017,1
10/30/2017,1
10/31/2017,1
10/4/2017,1
10/5/2017,1
11/16/2017,1
11/24/2017,1
11/30/2016,1
11/8/2017,1
11/9/2017,1
12/1/2016,1
12/11/2017,1
12/12/2016,1
12/13/2017,1
12/15/2017,1
12/18/2017,1
12/19/2016,1
12/19/2017,1
12/22/2017,1
12/26/2017,1
12/27/2016,1
12/28/2016,1
12/28/2017,1
12/29/2017,1
12/4/2017,1
12/8/2017,1
2/13/2017,1
2/16/2016,1
2/2/2018,1
2/20/2017,1
2/24/2017,1
2/26/2018,1
2/27/2018,1
2/28/2017,1
2/7/2018,1
3/1/2018,1
3/2/2018,1
3/20/2018,1
3/21/2017,1
3/21/2018,1
3/22/2018,1
3/24/2018,1
3/27/2017,1
3/27/2018,1
3/29/2017,1
3/7/2017,1
4/11/2017,1
4/19/2017,1
4/20/2017,1
4/22/2016,1
4/25/2017,1
5/19/2017,1
5/22/2017,1
5/25/2017,1
5/26/2017,1
5/31/2016,1
6/1/2016,1
6/10/2016,1
6/11/2016,1
6/16/2016,1
6/16/2017,1
6/19/2017,1
6/20/2016,1
6/20/2017,1
6/23/2017,1
6/27/2016,1
6/28/2016,1
6/3/2016,1
6/30/2016,1
6/9/2016,1
7/18/2016,1
7/21/2016,1
7/25/2016,1
7/7/2016,1
8/15/2016,1
8/16/2017,1
8/29/2016,1
8/8/2016,1
8/9/2016,1
