GTINShipDate,Quantity
1/10/2018,1
1/11/2018,1
1/12/2018,1
1/14/2017,1
1/15/2018,1
1/16/2017,1
1/17/2017,1
1/17/2018,1
1/19/2018,1
1/2/2018,1
1/22/2018,1
1/24/2018,1
1/27/2017,1
1/3/2017,1
1/3/2018,1
1/30/2017,1
1/30/2018,1
1/4/2017,1
1/5/2018,1
1/9/2018,1
10/18/2017,1
10/30/2017,1
10/5/2017,1
11/1/2017,1
11/21/2017,1
11/22/2017,1
11/3/2017,1
11/6/2017,1
11/8/2017,1
12/1/2016,1
12/11/2017,1
12/12/2016,1
12/13/2017,1
12/14/2017,1
12/19/2016,1
12/20/2016,1
12/26/2017,1
12/27/2016,1
12/28/2017,1
12/5/2016,1
12/5/2017,1
12/6/2016,1
12/7/2017,1
12/8/2017,1
2/12/2018,1
2/13/2017,1
2/13/2018,1
2/14/2018,1
2/15/2018,1
2/2/2018,1
2/20/2018,1
2/21/2017,1
2/22/2017,1
2/23/2018,1
2/26/2018,1
2/27/2018,1
2/28/2017,1
2/5/2018,1
2/6/2018,1
2/7/2018,1
2/8/2018,1
2/9/2018,1
3/12/2018,1
3/13/2018,1
3/14/2018,1
3/17/2016,1
3/19/2018,1
3/21/2017,1
3/23/2018,1
3/24/2018,1
3/28/2017,1
3/28/2018,1
3/29/2017,1
3/31/2016,1
3/6/2018,1
3/7/2017,1
3/9/2018,1
4/11/2017,1
4/24/2017,1
4/5/2017,1
5/19/2017,1
5/20/2016,1
5/22/2017,1
5/23/2017,1
5/24/2017,1
5/30/2016,1
5/31/2016,1
5/9/2017,1
6/1/2016,1
6/11/2016,1
6/16/2016,1
6/27/2016,1
6/28/2016,1
6/28/2017,1
6/30/2016,1
7/14/2017,1
7/18/2016,1
7/18/2017,1
7/19/2017,1
7/21/2016,1
7/7/2016,1
8/15/2016,1
8/17/2017,1
8/28/2017,1
8/29/2016,1
8/8/2016,1
8/9/2016,1
9/11/2017,1
9/18/2017,1
