GTINShipDate,Quantity
1/14/2017,1
1/15/2018,1
1/2/2017,1
1/27/2017,1
1/3/2017,1
1/30/2017,1
1/5/2017,1
1/9/2018,1
10/5/2017,1
11/16/2016,1
11/28/2017,1
11/29/2016,1
11/30/2016,1
12/1/2016,1
12/11/2017,1
12/15/2017,1
12/19/2016,1
12/26/2017,1
12/28/2016,1
12/4/2017,1
12/8/2017,1
12/9/2016,1
2/13/2017,1
2/16/2018,1
2/20/2017,1
2/21/2017,1
2/23/2018,1
2/7/2018,1
2/9/2018,1
3/14/2018,1
3/16/2018,1
3/2/2018,1
3/21/2018,1
3/22/2018,1
3/23/2018,1
3/26/2018,1
3/27/2018,1
3/28/2017,1
3/28/2018,1
3/29/2017,1
3/31/2017,1
3/8/2017,1
3/9/2018,1
4/11/2017,1
4/12/2017,1
4/19/2017,1
4/5/2017,1
4/7/2017,1
5/1/2017,1
5/10/2017,1
5/15/2017,1
5/16/2017,1
5/22/2017,1
5/24/2017,1
5/31/2017,1
5/4/2017,1
5/8/2017,1
6/13/2017,1
6/14/2017,1
6/16/2017,1
6/2/2017,1
6/22/2017,1
6/28/2017,1
6/30/2017,1
6/7/2017,1
6/8/2017,1
7/12/2017,1
7/13/2017,1
7/14/2017,1
7/19/2017,1
7/25/2017,1
7/26/2017,1
7/27/2017,1
7/28/2017,1
7/5/2017,1
7/7/2016,1
8/14/2017,1
8/16/2017,1
8/3/2017,1
8/9/2016,1
8/9/2017,1
