GTINShipDate,Quantity
1/12/2018,1
1/13/2018,1
1/16/2017,1
1/19/2017,1
1/19/2018,1
1/26/2018,1
1/31/2018,1
1/9/2018,1
10/11/2017,1
10/2/2017,1
10/25/2017,1
10/26/2017,1
10/27/2017,1
10/3/2017,1
10/5/2017,1
11/1/2017,1
11/29/2017,1
11/30/2017,1
12/1/2016,1
12/1/2017,1
12/18/2017,1
12/19/2017,1
12/27/2017,1
12/30/2017,1
2/12/2018,1
2/13/2018,1
2/14/2018,1
2/2/2018,1
2/23/2018,1
2/27/2018,1
2/28/2017,1
2/28/2018,1
3/1/2018,1
3/13/2017,1
3/14/2018,1
3/15/2018,1
3/16/2018,1
3/17/2016,1
3/19/2018,1
3/2/2018,1
3/20/2017,1
3/20/2018,1
3/21/2018,1
3/22/2017,1
3/23/2018,1
3/26/2018,1
3/27/2018,1
3/28/2018,1
3/29/2017,1
3/6/2018,1
3/7/2018,1
3/8/2018,1
4/10/2017,1
4/11/2017,1
4/13/2017,1
4/14/2017,1
4/17/2017,1
4/18/2017,1
4/19/2017,1
4/20/2017,1
4/21/2017,1
4/24/2017,1
4/26/2017,1
4/27/2017,1
4/28/2017,1
4/4/2017,1
4/5/2017,1
4/6/2017,1
4/7/2017,1
5/10/2017,1
5/15/2017,1
5/18/2017,1
5/23/2017,1
5/25/2017,1
5/29/2017,1
5/3/2017,1
5/4/2017,1
5/5/2017,1
5/8/2017,1
5/9/2017,1
6/1/2017,1
6/12/2017,1
6/15/2017,1
6/16/2017,1
6/17/2016,1
6/19/2017,1
6/20/2016,1
6/20/2017,1
6/21/2016,1
6/21/2017,1
6/22/2016,1
6/22/2017,1
6/23/2016,1
6/24/2016,1
6/26/2017,1
6/27/2016,1
6/28/2016,1
6/28/2017,1
6/30/2016,1
6/6/2017,1
6/7/2017,1
6/8/2017,1
6/9/2016,1
7/11/2017,1
7/14/2017,1
7/18/2016,1
7/25/2016,1
7/25/2017,1
7/26/2016,1
7/26/2017,1
7/5/2017,1
7/7/2017,1
8/1/2017,1
8/10/2017,1
8/12/2017,1
8/14/2017,1
8/15/2016,1
8/15/2017,1
8/16/2017,1
8/17/2016,1
8/17/2017,1
8/18/2017,1
8/2/2017,1
8/21/2017,1
8/22/2017,1
8/24/2016,1
8/25/2017,1
8/29/2016,1
8/29/2017,1
8/3/2017,1
8/30/2016,1
8/30/2017,1
8/31/2017,1
8/4/2017,1
8/8/2016,1
8/9/2016,1
8/9/2017,1
9/12/2017,1
9/13/2017,1
9/14/2017,1
9/15/2017,1
9/16/2016,1
9/19/2017,1
9/20/2017,1
9/22/2017,1
9/6/2017,1
9/8/2017,1
