GTINShipDate,Quantity
1/10/2018,1
1/12/2018,1
1/13/2018,1
1/15/2018,1
1/16/2017,1
1/17/2017,1
1/17/2018,1
1/18/2017,1
1/19/2018,1
1/23/2018,1
1/25/2018,1
1/26/2018,1
1/30/2017,1
1/9/2018,1
10/26/2017,1
10/5/2017,1
11/10/2017,1
11/16/2017,1
11/17/2017,1
11/20/2017,1
11/29/2016,1
11/3/2017,1
11/30/2016,1
11/8/2017,1
11/9/2017,1
12/1/2017,1
12/20/2017,1
12/21/2017,1
12/27/2017,1
12/3/2016,1
12/5/2017,1
2/13/2018,1
2/14/2018,1
2/20/2018,1
2/21/2018,1
2/27/2018,1
2/3/2017,1
2/6/2018,1
2/7/2018,1
2/8/2018,1
3/13/2018,1
3/15/2018,1
3/16/2018,1
3/2/2018,1
3/21/2018,1
3/23/2017,1
3/23/2018,1
3/26/2018,1
3/29/2017,1
3/8/2018,1
3/9/2018,1
4/12/2017,1
4/19/2017,1
4/26/2017,1
4/28/2017,1
4/4/2017,1
4/6/2017,1
4/7/2017,1
5/23/2017,1
6/10/2016,1
6/16/2016,1
6/17/2016,1
6/2/2016,1
6/20/2016,1
6/21/2017,1
6/22/2016,1
6/27/2016,1
6/27/2017,1
6/6/2016,1
7/12/2017,1
7/25/2017,1
7/26/2016,1
7/7/2016,1
7/7/2017,1
8/11/2017,1
8/12/2017,1
8/14/2017,1
8/15/2016,1
8/18/2017,1
8/22/2017,1
8/23/2017,1
8/24/2016,1
8/24/2017,1
8/25/2017,1
8/29/2016,1
8/30/2017,1
8/8/2016,1
8/9/2016,1
9/12/2017,1
9/15/2017,1
