Date,Prediction,Prediction_lower_bound,Prediction_upper_bound,GTIN
2018-04-08,1.91,0.81,2.99,6kg (300-450g)L1
2018-04-15,1.91,0.86,2.86,6kg (300-450g)L1
2018-04-01,1.25,0.55,2.02,6kg (450-600g)L2
2018-04-08,1.13,0.38,1.89,6kg (450-600g)L2
2018-04-01,2.44,1.4,3.36,12_3lb Bags
2018-04-08,2.45,1.44,3.46,12_3lb Bags
2018-04-08,2.25,1.53,3.01,18kg (100-150g)
2018-04-15,3.04,2.29,3.8,18kg (100-150g)
2018-04-08,1.1,0.66,1.52,20lb Spec - Bonita No 1
2018-04-15,1.1,0.68,1.53,20lb Spec - Bonita No 1
2018-04-08,4.28,3.16,5.32,40lb 45ct
2018-04-15,4.93,3.81,6.09,40lb 45ct
2018-04-08,2.64,1.52,4.73,40lb 50ct
2018-04-15,2.66,1.52,4.78,40lb 50ct
2018-04-08,5.07,3.2,7.68,40lb 55ct
2018-04-15,6.61,4.28,10.0,40lb 55ct
2018-04-08,2.98,1.49,4.39,40lb 65ct
2018-04-15,2.99,1.43,4.46,40lb 65ct
2018-02-18,1.88,1.12,2.67,40lb 75ct
2018-02-25,1.88,1.06,2.66,40lb 75ct
2018-04-08,3.8,2.22,6.97,40lb 90ct
2018-04-15,3.85,2.33,6.5,40lb 90ct
2018-04-08,1.78,0.93,2.64,40lb Bonita (White)
2018-04-15,1.79,1.0,2.65,40lb Bonita (White)
2018-04-08,2.15,1.16,3.12,40lb Fingerling
2018-04-15,2.16,1.18,3.17,40lb Fingerling
2018-04-08,2.33,1.4,3.26,40lb Jumbo
2018-04-15,2.62,1.61,3.56,40lb Jumbo
2018-04-08,1.65,0.99,2.67,40lb No 1
2018-04-15,1.47,0.91,2.46,40lb No 1
2018-04-08,1.8,0.7,2.86,40lb Organic
2018-04-15,1.8,0.82,2.88,40lb Organic
2018-04-08,1.68,0.79,2.62,40lb Spc-Purple
2018-04-15,1.68,0.81,2.63,40lb Spc-Purple
2018-04-08,4.45,3.17,5.76,55 Bin Giant
2018-04-15,4.48,3.25,5.8,55 Bin Giant
2018-04-08,4.03,3.11,5.12,500kg (150-300g)
2018-04-15,5.03,3.94,6.09,500kg (150-300g)
2018-04-08,4.97,4.09,5.92,500kg (300-800g)
2018-04-15,5.49,4.57,6.39,500kg (300-800g)
2018-04-08,1.15,0.5,1.7,Micro - 6Kg (24ct)
2018-04-15,1.14,0.53,1.81,Micro - 6Kg (24ct)
2018-04-08,1.25,0.81,1.67,Tray Pack - 4 pk 12 ct
2018-04-15,1.18,0.73,1.62,Tray Pack - 4 pk 12 ct
