Description,GTINShipDate,Quantity
40lb 25-28ct - CV,2/16/2016,1
40lb 55ct,2/16/2016,1
40lb 45ct,2/16/2016,1
18kg (100-150g),2/16/2016,1
40lb 75-85ct,2/16/2016,1
40lb Medium,2/16/2016,1
40lb Jumbo,2/16/2016,1
500kg (300-800g),3/7/2016,1
6kg (450-600g)L2,3/7/2016,1
Tray Pack - 4 pk 12 ct,3/7/2016,1
40lb 65-85ct,3/17/2016,1
40lb No 1,3/17/2016,1
40lb No 2,3/17/2016,1
20lb #1,3/17/2016,1
500kg (300-800g),3/17/2016,1
500kg (150-300g),3/17/2016,1
"36""Pickouts(2.5""-4.5"")",3/31/2016,1
Micro 20lb 30ct,3/31/2016,1
Tray Pack - 4 pk 12 ct,3/31/2016,1
40lb 70ct,3/31/2016,1
Micro - 6Kg (24ct),3/31/2016,1
40lb 55ct,3/31/2016,1
18kg (100-150g),3/31/2016,1
40lb 65-85ct,3/31/2016,1
40lb No 1,3/31/2016,1
40lb 65ct Sysco/FP,3/31/2016,1
40lb 55ct,4/5/2016,1
40lb 65-85ct,4/7/2016,1
18kg (220-260g),4/21/2016,1
40lb Jumbo,4/22/2016,1
40lb 65-85ct,4/22/2016,1
18kg (100-150g),4/22/2016,1
40lb 33ct,4/22/2016,1
"36""Pickouts(2.5""-4.5"")",5/3/2016,1
40lb 90ct,5/3/2016,1
40lb 65-85ct,5/20/2016,1
"55"" Bin Giant",5/20/2016,1
40lb No 1,5/20/2016,1
40lb 65-85ct,5/30/2016,1
40lb No 1,5/30/2016,1
40lb 100ct,5/31/2016,1
40lb 75ct,5/31/2016,1
40lb 70ct,5/31/2016,1
"55"" Bin Giant",5/31/2016,1
40lb No 1,5/31/2016,1
40lb 90ct,5/31/2016,1
12/3lb Bags,5/31/2016,1
40lb 55ct,5/31/2016,1
40lb 65-85ct,5/31/2016,1
40lb Jumbo,5/31/2016,1
40lb No 2,5/31/2016,1
40lb 50ct,5/31/2016,1
500kg Giant,6/1/2016,1
"55"" Bin Giant",6/1/2016,1
40lb 50ct,6/1/2016,1
20lb Spec - Bonita No 1,6/1/2016,1
40lb No 1,6/1/2016,1
Murasaki Small Plastic,6/1/2016,1
Micro 20lb 30ct,6/1/2016,1
40lb 65-85ct,6/1/2016,1
40lb Jumbo,6/1/2016,1
6kg (300-450g)L1,6/2/2016,1
40lb 55ct,6/3/2016,1
6kg (450-600g)L2,6/3/2016,1
40lb 33ct,6/3/2016,1
40lb 90ct,6/3/2016,1
40lb Jumbo,6/3/2016,1
40lb 65ct,6/3/2016,1
40lb 75ct,6/3/2016,1
