Date,Prediction,Prediction_lower_bound,Prediction_upper_bound
2018-04-08,1.91,0.93,2.96
2018-04-15,1.91,0.91,2.97
2018-04-22,1.92,0.86,2.97
2018-04-29,1.92,0.9,2.91
2018-05-06,1.92,0.92,2.99
2018-05-13,1.93,0.88,2.91
2018-05-20,1.93,0.93,2.91
2018-05-27,1.94,0.87,2.95
2018-06-03,1.94,0.87,2.95
2018-06-10,1.94,0.93,3.02
2018-06-17,1.95,0.92,2.94
2018-06-24,1.95,0.94,2.94
2018-07-01,1.96,0.91,3.03
2018-07-08,1.96,0.96,2.97
2018-07-15,1.96,0.96,3.04
2018-07-22,1.97,0.9,3.06
2018-07-29,1.97,0.9,2.98
2018-08-05,1.98,0.91,2.92
2018-08-12,1.98,0.89,2.99
2018-08-19,1.99,0.94,3.08
2018-08-26,1.99,0.97,3.08
2018-09-02,1.99,0.95,3.05
2018-09-09,2.0,1.0,3.12
2018-09-16,2.0,0.93,3.06
2018-09-23,2.01,1.01,3.11
2018-09-30,2.01,0.88,3.02
2018-10-07,2.01,0.95,3.08
2018-10-14,2.02,0.94,3.06
2018-10-21,2.02,1.0,3.12
2018-10-28,2.03,0.96,3.1
2018-11-04,2.03,0.86,3.07
2018-11-11,2.03,0.93,3.06
2018-11-18,2.04,1.04,3.04
2018-11-25,2.04,1.01,3.11
2018-12-02,2.05,1.01,3.11
2018-12-09,2.05,0.99,3.06
2018-12-16,2.06,1.05,3.16
2018-12-23,2.06,1.02,3.07
2018-12-30,2.06,1.01,3.07
2019-01-06,2.07,0.98,3.14
2019-01-13,2.07,0.98,3.08
2019-01-20,2.08,1.13,3.19
2019-01-27,2.08,1.02,3.15
2019-02-03,2.08,1.07,3.14
2019-02-10,2.09,1.11,3.12
2019-02-17,2.09,1.05,3.13
2019-02-24,2.1,1.03,3.18
2019-03-03,2.1,1.04,3.15
2019-03-10,2.1,1.0,3.16
2019-03-17,2.11,1.06,3.23
