st_fee_gen_date,class_name,section_name,st_fee_total_receipt_amount
2015-12-19 00:00:00.000,Nursery,TULIP,1800.0
2016-03-01 00:00:00.000,Hifz Girls,D,2050.0
2016-03-01 00:00:00.000,Hifz Girls,D,2050.0
2016-03-01 00:00:00.000,Hifz Girls,D,2050.0
2016-03-01 00:00:00.000,Hifz Girls,D,2400.0
2016-03-01 00:00:00.000,Hifz Girls,D,2100.0
2016-03-01 00:00:00.000,Hifz Girls,D,2050.0
2016-03-01 00:00:00.000,Hifz Girls,E,2050.0
2016-03-01 00:00:00.000,Hifz Girls,D,2050.0
2016-03-01 00:00:00.000,Hifz Girls,E,2050.0
2016-03-01 00:00:00.000,Hifz Girls,D,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,1800.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,B,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,350.0
2016-03-01 00:00:00.000,Hifz Boys,C,1800.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,900.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,C,2050.0
2016-03-01 00:00:00.000,Hifz Boys,F,2050.0
2016-03-01 00:00:00.000,Hifz Boys,F,2050.0
2016-03-01 00:00:00.000,Hifz Boys,F,1800.0
2016-03-01 00:00:00.000,Hifz Boys,F,2050.0
2016-03-01 00:00:00.000,Hifz Boys,F,2050.0
2016-02-25 00:00:00.000,10th,E,2160.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-24 00:00:00.000,8th,F,2050.0
2016-02-24 00:00:00.000,8th,D,2050.0
2016-02-24 00:00:00.000,8th,E,2050.0
2016-02-24 00:00:00.000,8th,F,2050.0
2016-02-24 00:00:00.000,8th,D,2050.0
2016-02-24 00:00:00.000,8th,F,2050.0
2016-02-24 00:00:00.000,8th,D,2050.0
2016-02-24 00:00:00.000,8th,E,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,E,1800.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-24 00:00:00.000,8th,D,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-24 00:00:00.000,8th,E,1800.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-24 00:00:00.000,8th,D,2050.0
2016-02-24 00:00:00.000,8th,D,2050.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,D,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,E,2050.0
2016-02-24 00:00:00.000,7th,D,2050.0
2016-02-24 00:00:00.000,7th,D,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,D,1800.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-24 00:00:00.000,8th,D,2050.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-24 00:00:00.000,7th,E,2050.0
2016-02-25 00:00:00.000,9th,D,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-24 00:00:00.000,7th,F,2050.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-25 00:00:00.000,9th,C,2050.0
2016-02-25 00:00:00.000,9th,C,350.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,4th,B,1950.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,9th,A,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,F,900.0
2016-02-25 00:00:00.000,10th,A,100.0
2016-02-25 00:00:00.000,9th,A,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-24 00:00:00.000,8th,A,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,9th,A,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,C,1800.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,9th,D,1800.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,D,1800.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,9th,B,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,9th,E,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,9th,B,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,9th,C,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,9th,F,2050.0
2016-02-25 00:00:00.000,10th,F,1800.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,A,2050.0
2016-02-24 00:00:00.000,8th,C,1800.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,B,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,F,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,9th,A,2050.0
2016-02-25 00:00:00.000,10th,D,2050.0
2016-02-25 00:00:00.000,10th,C,2050.0
2016-02-25 00:00:00.000,10th,E,2050.0
