Date,Prediction,Prediction_lower_bound,Prediction_upper_bound,GTIN
2018-03-27,1.0,1.0,1.0,6kg (300-450g)L1
2018-03-24,1.0,1.0,1.0,6kg (450-600g)L2
2018-03-24,1.0,1.0,1.0,12_3lb Bags
2018-03-28,1.0,1.0,1.0,18kg (100-150g)
2018-03-29,1.0,1.0,1.0,20lb Spec - Bonita No 1
2018-03-27,1.0,1.0,1.0,40lb 45ct
2018-03-27,1.0,1.0,1.0,40lb 50ct
2018-03-30,1.0,1.0,1.0,40lb 55ct
2018-03-30,1.23,0.77,1.68,40lb 65ct
2018-02-07,1.0,1.0,1.0,40lb 75ct
2018-03-30,1.0,1.0,1.0,40lb 90ct
2018-03-28,1.0,1.0,1.0,40lb Bonita (White)
2018-03-30,1.0,1.0,1.0,40lb Fingerling
2018-03-28,1.0,1.0,1.0,40lb Jumbo
2018-03-29,1.0,1.0,1.0,40lb No 1
2018-03-29,1.0,1.0,1.0,40lb Organic
2018-03-29,1.0,1.0,1.0,40lb Spc-Purple
2018-03-30,1.0,1.0,1.0,55 Bin Giant
2018-03-29,1.0,1.0,1.0,500kg (150-300g)
2018-03-30,1.0,1.0,1.0,500kg (300-800g)
2018-03-29,1.0,1.0,1.0,Micro - 6Kg (24ct)
2018-03-29,1.0,1.0,1.0,Tray Pack - 4 pk 12 ct
