Description,GTINShipDate,Quantity
18kg (100-150g),2/29/2016,1
40lb 25-28ct - CV,2/29/2016,1
40lb 45ct,2/29/2016,1
40lb 55ct,2/29/2016,1
40lb 75-85ct,2/29/2016,1
40lb Jumbo,2/29/2016,1
40lb Medium,2/29/2016,1
18kg (100-150g),3/31/2016,1
20lb #1,3/31/2016,1
"36""Pickouts(2.5""-4.5"")",3/31/2016,1
40lb 25-28ct - CV,3/31/2016,0
40lb 45ct,3/31/2016,0
40lb 55ct,3/31/2016,1
40lb 65-85ct,3/31/2016,2
40lb 65ct Sysco/FP,3/31/2016,1
40lb 70ct,3/31/2016,1
40lb 75-85ct,3/31/2016,0
40lb Jumbo,3/31/2016,0
40lb Medium,3/31/2016,0
40lb No 1,3/31/2016,2
40lb No 2,3/31/2016,1
500kg (150-300g),3/31/2016,1
500kg (300-800g),3/31/2016,2
6kg (450-600g)L2,3/31/2016,1
Micro - 6Kg (24ct),3/31/2016,1
Micro 20lb 30ct,3/31/2016,1
Tray Pack - 4 pk 12 ct,3/31/2016,2
18kg (100-150g),4/30/2016,1
18kg (220-260g),4/30/2016,1
20lb #1,4/30/2016,0
"36""Pickouts(2.5""-4.5"")",4/30/2016,0
40lb 25-28ct - CV,4/30/2016,0
40lb 33ct,4/30/2016,1
40lb 45ct,4/30/2016,0
40lb 55ct,4/30/2016,1
40lb 65-85ct,4/30/2016,2
40lb 65ct Sysco/FP,4/30/2016,0
40lb 70ct,4/30/2016,0
40lb 75-85ct,4/30/2016,0
40lb Jumbo,4/30/2016,1
40lb Medium,4/30/2016,0
40lb No 1,4/30/2016,0
40lb No 2,4/30/2016,0
500kg (150-300g),4/30/2016,0
500kg (300-800g),4/30/2016,0
6kg (450-600g)L2,4/30/2016,0
Micro - 6Kg (24ct),4/30/2016,0
Micro 20lb 30ct,4/30/2016,0
Tray Pack - 4 pk 12 ct,4/30/2016,0
12/3lb Bags,5/31/2016,1
18kg (100-150g),5/31/2016,0
18kg (220-260g),5/31/2016,0
20lb #1,5/31/2016,0
"36""Pickouts(2.5""-4.5"")",5/31/2016,1
40lb 100ct,5/31/2016,1
40lb 25-28ct - CV,5/31/2016,0
40lb 33ct,5/31/2016,0
40lb 45ct,5/31/2016,0
40lb 50ct,5/31/2016,1
40lb 55ct,5/31/2016,1
40lb 65-85ct,5/31/2016,3
40lb 65ct Sysco/FP,5/31/2016,0
40lb 70ct,5/31/2016,1
40lb 75-85ct,5/31/2016,0
40lb 75ct,5/31/2016,1
40lb 90ct,5/31/2016,2
40lb Jumbo,5/31/2016,1
40lb Medium,5/31/2016,0
40lb No 1,5/31/2016,3
40lb No 2,5/31/2016,1
500kg (150-300g),5/31/2016,0
500kg (300-800g),5/31/2016,0
"55"" Bin Giant",5/31/2016,2
6kg (450-600g)L2,5/31/2016,0
Micro - 6Kg (24ct),5/31/2016,0
Micro 20lb 30ct,5/31/2016,0
Tray Pack - 4 pk 12 ct,5/31/2016,0
10lb Spec-Purple,6/30/2016,1
12/3lb Bags,6/30/2016,7
18kg (100-150g),6/30/2016,4
18kg (220-260g),6/30/2016,5
18kg (600-800g),6/30/2016,2
20lb #1,6/30/2016,2
20lb Spec - Bonita No 1,6/30/2016,4
"36""Pickouts(2.5""-4.5"")",6/30/2016,0
40lb #1 Sysco/FP,6/30/2016,1
40lb 100ct,6/30/2016,0
40lb 25-28ct - CV,6/30/2016,0
40lb 33ct,6/30/2016,4
40lb 45ct,6/30/2016,4
40lb 50ct,6/30/2016,5
40lb 55-65ct - CV,6/30/2016,1
40lb 55ct,6/30/2016,6
40lb 65-85ct,6/30/2016,6
40lb 65ct,6/30/2016,4
40lb 65ct Sysco/FP,6/30/2016,1
40lb 70-80ct - CV,6/30/2016,2
40lb 70ct,6/30/2016,1
40lb 75-85ct,6/30/2016,0
40lb 75ct,6/30/2016,4
40lb 90ct,6/30/2016,5
40lb Bonita JBO,6/30/2016,1
40lb Fingerling,6/30/2016,5
40lb Jumbo,6/30/2016,10
40lb Medium,6/30/2016,3
40lb No 1,6/30/2016,6
40lb No 2,6/30/2016,2
40lb Spc-Purple,6/30/2016,5
40lb Spec-Burgundy,6/30/2016,2
500kg (150-300g),6/30/2016,10
500kg (300-800g),6/30/2016,2
500kg Field Run,6/30/2016,2
500kg Giant,6/30/2016,3
500kg Pickouts,6/30/2016,1
500kg Spc - Purple ,6/30/2016,1
500kg Spc-Purple Mix,6/30/2016,1
"55"" Bin Giant",6/30/2016,8
6kg (150-300g),6/30/2016,1
6kg (300-450g)L1,6/30/2016,8
6kg (450-600g)L2,6/30/2016,11
6kg (600-800g),6/30/2016,1
HP StkHse (12-16oz),6/30/2016,1
Micro - 6Kg (24ct),6/30/2016,4
Micro 20lb 30ct,6/30/2016,6
Murasaki Small Plastic,6/30/2016,1
Tray Pack - 4 pk 12 ct,6/30/2016,2
10lb Spec-Purple,7/31/2016,0
12/3lb Bags,7/31/2016,2
18kg (100-150g),7/31/2016,2
18kg (220-260g),7/31/2016,1
18kg (600-800g),7/31/2016,2
20lb #1,7/31/2016,1
20lb Purple,7/31/2016,2
20lb Spec - Bonita No 1,7/31/2016,2
"36""Pickouts(2.5""-4.5"")",7/31/2016,0
40lb #1 Sysco/FP,7/31/2016,0
40lb 100ct,7/31/2016,1
40lb 110ct,7/31/2016,2
40lb 120ct - CV,7/31/2016,2
40lb 25-28ct - CV,7/31/2016,2
40lb 33ct,7/31/2016,2
40lb 45ct,7/31/2016,4
40lb 50ct,7/31/2016,2
40lb 55-65ct - CV,7/31/2016,2
40lb 55ct,7/31/2016,5
40lb 65-85ct,7/31/2016,3
40lb 65ct,7/31/2016,2
40lb 65ct Sysco/FP,7/31/2016,3
40lb 70-80ct - CV,7/31/2016,1
40lb 70ct,7/31/2016,2
40lb 75-85ct,7/31/2016,2
40lb 75ct,7/31/2016,3
40lb 90ct,7/31/2016,4
40lb Bonita (White),7/31/2016,3
40lb Bonita JBO,7/31/2016,2
40lb Fingerling,7/31/2016,3
40lb Jumbo,7/31/2016,4
40lb Medium,7/31/2016,3
40lb Murasaki Med,7/31/2016,1
40lb No 1,7/31/2016,3
40lb No 2,7/31/2016,2
40lb Organic,7/31/2016,1
40lb Spc-Purple,7/31/2016,3
40lb Spec-Burgundy,7/31/2016,0
500kg (150-300g),7/31/2016,3
500kg (300-800g),7/31/2016,2
500kg Field Run,7/31/2016,3
500kg Giant,7/31/2016,2
500kg Pickouts,7/31/2016,0
500kg Spc - Purple ,7/31/2016,0
